exp_label,turn_index,tenant_id,group_label,prefill_ms,computation_tokens,first_token_ts,rank_in_batch,delay_from_earliest_first_token_ms,delta_from_prev_delay_ms
exp2,5,10,Group1,12988.739,1120.0,0.0,9,0.0,0.0
exp2,5,27,Group2,12931.138500000001,1058.0,0.0,10,0.0,0.0
exp2,5,21,Group2,12883.2533,1222.0,0.0,11,0.0,0.0
exp2,5,30,Group2,20465.306299999997,1098.0,0.0,12,0.0,0.0
exp2,5,28,Group2,12952.7585,1074.0,0.0,13,0.0,0.0
exp2,5,8,Group1,12926.338800000001,1118.0,0.0,14,0.0,0.0
exp2,5,3,Group1,12966.787699999999,1042.0,0.0,15,0.0,0.0
exp2,5,11,Group1,12984.451799999999,1120.0,0.0,16,0.0,0.0
exp2,5,20,Group2,12883.523799999999,1224.0,0.0,17,0.0,0.0
exp2,5,5,Group1,13014.1028,1210.0,0.0,18,0.0,0.0
exp2,5,2,Group1,12901.1703,1052.0,0.0,19,0.0,0.0
exp2,6,23,Group2,14105.176300000001,1201.0,0.0,1,0.0,0.0
exp2,6,22,Group2,14123.8101,450.0,0.0,2,0.0,0.0
exp2,6,1,Group1,14167.792000000001,181.0,0.0,3,0.0,0.0
exp2,6,15,Group1,14134.7399,1180.0,0.0,4,0.0,0.0
exp2,6,2,Group1,28199.492499999997,1113.0,0.0,5,0.0,0.0
exp2,6,17,Group2,14120.9275,1192.0,0.0,6,0.0,0.0
exp2,6,20,Group2,28157.380300000004,1199.0,0.0,7,0.0,0.0
exp2,6,12,Group1,28302.9417,1181.0,0.0,8,0.0,0.0
exp2,6,18,Group2,29477.1179,1203.0,0.0,9,0.0,0.0
exp2,6,27,Group2,14085.8949,1096.0,0.0,10,0.0,0.0
exp2,6,10,Group1,28174.6382,1170.0,0.0,11,0.0,0.0
exp2,6,11,Group1,28177.7101,1170.0,0.0,12,0.0,0.0
exp2,6,8,Group1,14159.4995,1184.0,0.0,13,0.0,0.0
exp2,6,32,Group2,14065.518699999999,1180.0,0.0,14,0.0,0.0
exp2,6,19,Group2,14063.1849,1191.0,0.0,15,0.0,0.0
exp2,6,25,Group2,14081.796,1201.0,0.0,16,0.0,0.0
exp2,6,28,Group2,28252.7332,1033.0,0.0,17,0.0,0.0
exp2,6,5,Group1,28370.8906,1251.0,0.0,18,0.0,0.0
exp2,6,9,Group1,14193.0003,1171.0,0.0,19,0.0,0.0
exp2,6,13,Group1,28280.8934,1177.0,0.0,20,0.0,0.0
exp2,6,29,Group2,14048.17,1180.0,0.0,21,0.0,0.0
exp2,6,26,Group2,14138.546499999999,1203.0,0.0,22,0.0,0.0
exp2,6,21,Group2,28257.402899999997,1197.0,0.0,23,0.0,0.0
exp2,6,30,Group2,28227.2904,1179.0,0.0,24,0.0,0.0
exp2,6,31,Group2,28278.259399999995,1180.0,0.0,25,0.0,0.0
exp2,6,4,Group1,14190.277,1291.0,0.0,26,0.0,0.0
exp2,6,6,Group1,28206.3434,1096.0,0.0,27,0.0,0.0
exp2,6,3,Group1,28309.3116,1293.0,0.0,28,0.0,0.0
exp2,6,24,Group2,28230.1181,1195.0,0.0,29,0.0,0.0
exp2,6,7,Group1,14108.951,691.0,0.0,30,0.0,0.0
exp2,6,14,Group1,1265.7186,1182.0,0.0,31,0.0,0.0
exp2,7,29,Group2,18840.103700000003,1251.0,0.0,1,0.0,0.0
exp2,7,22,Group2,18762.152,398.0,0.0,2,0.0,0.0
exp2,7,1,Group1,18810.493000000002,263.0,0.0,3,0.0,0.0
exp2,7,23,Group2,18898.1251,1140.0,0.0,4,0.0,0.0
exp2,7,11,Group1,18759.9297,1119.0,0.0,5,0.0,0.0
exp2,7,19,Group2,18785.705700000006,1145.0,0.0,6,0.0,0.0
exp2,7,3,Group1,18802.9559,1304.0,0.0,7,0.0,0.0
exp2,7,12,Group1,18904.7059,1129.0,0.0,8,0.0,0.0
exp2,7,10,Group1,18860.9631,1119.0,0.0,9,0.0,0.0
exp2,7,18,Group2,18883.0121,1142.0,0.0,10,0.0,0.0
exp2,7,27,Group2,18727.3828,1044.0,0.0,11,0.0,0.0
exp2,7,32,Group2,34923.515,1251.0,0.0,12,0.0,0.0
exp2,7,6,Group1,18732.725599999998,1230.0,0.0,13,0.0,0.0
exp2,7,25,Group2,18786.5565,1140.0,0.0,14,0.0,0.0
exp2,7,21,Group2,18856.3936,1152.0,0.0,15,0.0,0.0
exp2,7,28,Group2,18833.989099999995,1042.0,0.0,16,0.0,0.0
exp2,7,31,Group2,1666.5267,1251.0,0.0,17,0.0,0.0
exp2,7,17,Group2,2645.2758000000003,1147.0,0.0,18,0.0,0.0
exp2,7,7,Group1,18887.006,428.0,0.0,19,0.0,0.0
exp2,8,22,Group2,19997.8293,1120.0,0.0,1,0.0,0.0
exp2,8,4,Group1,40679.8132,1303.0,0.0,2,0.0,0.0
exp2,8,8,Group1,40454.368200000004,1281.0,0.0,3,0.0,0.0
exp2,8,30,Group2,40479.7573,1173.0,0.0,4,0.0,0.0
exp2,8,17,Group2,19974.888799999997,1117.0,0.0,5,0.0,0.0
exp2,8,24,Group2,1340.201,1120.0,0.0,6,0.0,0.0
exp2,8,32,Group2,20024.8913,1175.0,0.0,7,0.0,0.0
exp2,8,1,Group1,19865.764600000002,669.0,0.0,8,0.0,0.0
exp2,8,18,Group2,40527.630999999994,1112.0,0.0,9,0.0,0.0
exp2,8,29,Group2,20020.4333,1175.0,0.0,10,0.0,0.0
exp2,8,19,Group2,43690.4285,1115.0,0.0,11,0.0,0.0
exp2,8,16,Group1,19918.674899999998,1108.0,0.0,12,0.0,0.0
exp2,8,5,Group1,40558.6385,1138.0,0.0,13,0.0,0.0
exp2,8,11,Group1,40559.311499999996,1283.0,0.0,14,0.0,0.0
exp2,8,21,Group2,40531.2768,1106.0,0.0,15,0.0,0.0
exp2,8,13,Group1,40502.024399999995,1274.0,0.0,16,0.0,0.0
exp2,8,25,Group2,19861.597800000003,1110.0,0.0,17,0.0,0.0
exp2,8,28,Group2,19971.9577,1051.0,0.0,18,0.0,0.0
exp2,8,2,Group1,40593.878600000004,1063.0,0.0,19,0.0,0.0
exp2,8,31,Group2,19942.901799999996,1175.0,0.0,20,0.0,0.0
exp2,8,10,Group1,40456.09090000001,1283.0,0.0,21,0.0,0.0
exp2,8,3,Group1,19990.1944,1321.0,0.0,22,0.0,0.0
exp2,8,20,Group2,19828.185400000002,1108.0,0.0,23,0.0,0.0
exp2,8,23,Group2,19886.523,1110.0,0.0,24,0.0,0.0
exp2,8,12,Group1,19934.6073,1277.0,0.0,25,0.0,0.0
exp2,8,6,Group1,19893.479999999996,1112.0,0.0,26,0.0,0.0
exp2,8,26,Group2,40479.009999999995,1111.0,0.0,27,0.0,0.0
exp2,8,14,Group1,40497.06570000001,1278.0,0.0,28,0.0,0.0
exp2,8,9,Group1,40588.145300000004,1268.0,0.0,29,0.0,0.0
exp2,8,7,Group1,19922.805800000002,451.0,0.0,30,0.0,0.0
exp2,9,32,Group2,5486.3767,1141.0,0.0,1,0.0,0.0
exp2,9,26,Group2,1968.8104,1341.0,0.0,2,0.0,0.0
exp2,9,4,Group1,43956.69990000001,4053.0,0.0,3,0.0,0.0
exp2,9,17,Group2,27351.433699999998,1347.0,0.0,4,0.0,0.0
exp2,9,23,Group2,27416.168299999998,1339.0,0.0,5,0.0,0.0
exp2,9,10,Group1,27359.3076,1172.0,0.0,6,0.0,0.0
exp2,9,12,Group1,5488.4933,1182.0,0.0,7,0.0,0.0
exp2,9,11,Group1,27457.3554,1172.0,0.0,8,0.0,0.0
exp2,9,2,Group1,27561.0591,1262.0,0.0,9,0.0,0.0
exp2,9,25,Group2,27487.185100000002,1340.0,0.0,10,0.0,0.0
exp2,9,15,Group1,27481.601899999998,1170.0,0.0,11,0.0,0.0
exp2,9,3,Group1,27391.583,1027.0,0.0,12,0.0,0.0
exp2,9,19,Group2,27450.857200000002,1345.0,0.0,13,0.0,0.0
exp2,9,30,Group2,27411.9522,1139.0,0.0,14,0.0,0.0
exp2,9,16,Group1,27530.475899999998,1338.0,0.0,15,0.0,0.0
exp2,9,22,Group2,27532.809,415.0,0.0,16,0.0,0.0
exp2,9,1,Group1,27397.3665,554.0,0.0,17,0.0,0.0
exp2,9,27,Group2,27560.0837,1057.0,0.0,18,0.0,0.0
exp2,10,17,Group2,1983.5361,1187.0,0.0,1,0.0,0.0
exp2,10,1,Group1,18917.949,2973.0,0.0,2,0.0,0.0
exp2,10,22,Group2,37896.9986,1182.0,0.0,3,0.0,0.0
exp2,10,11,Group1,18857.132400000002,1116.0,0.0,4,0.0,0.0
exp2,10,21,Group2,18915.210300000002,1192.0,0.0,5,0.0,0.0
exp2,10,3,Group1,18887.270899999996,1041.0,0.0,6,0.0,0.0
exp2,10,24,Group2,18939.571000000004,1190.0,0.0,7,0.0,0.0
exp2,10,6,Group1,37866.5722,1120.0,0.0,8,0.0,0.0
exp2,10,10,Group1,18950.238100000002,1116.0,0.0,9,0.0,0.0
exp2,10,12,Group1,56791.756,9910.0,0.0,10,0.0,0.0
exp2,10,30,Group2,37872.4546,1168.0,0.0,11,0.0,0.0
exp2,10,2,Group1,37902.9637,1100.0,0.0,12,0.0,0.0
exp2,10,19,Group2,18893.674099999997,1184.0,0.0,13,0.0,0.0
exp2,10,26,Group2,37972.24110000001,8573.0,0.0,14,0.0,0.0
exp3,1,31,Group2,319.7977,5.0,0.0,1,0.0,0.0
exp3,1,5,Group1,607.936,69.0,0.0,2,0.0,0.0
exp3,1,29,Group2,574.1042000000001,5.0,0.0,3,0.0,0.0
exp3,1,19,Group2,615.8734000000001,15.0,0.0,4,0.0,0.0
exp3,1,12,Group1,111.87049999999999,2.0,0.0,5,0.0,0.0
exp3,1,6,Group1,637.6427000000001,840.0,0.0,6,0.0,0.0
exp3,1,2,Group1,630.3446999999999,8.0,0.0,7,0.0,0.0
exp3,1,18,Group2,605.9558999999999,15.0,0.0,8,0.0,0.0
exp3,1,23,Group2,114.6907,15.0,0.0,9,0.0,0.0
exp3,1,1,Group1,577.9655,636.0,0.0,10,0.0,0.0
exp3,1,28,Group2,620.7151,586.0,0.0,11,0.0,0.0
exp3,1,14,Group1,592.8988,2.0,0.0,12,0.0,0.0
exp3,1,20,Group2,315.4012,15.0,0.0,13,0.0,0.0
exp3,1,24,Group2,109.82409999999999,15.0,0.0,14,0.0,0.0
exp3,1,22,Group2,147.63590000000002,15.0,0.0,15,0.0,0.0
exp3,1,4,Group1,159.13439999999997,243.0,0.0,16,0.0,0.0
exp3,1,17,Group2,603.6666,15.0,0.0,17,0.0,0.0
exp3,1,3,Group1,578.8295999999999,3.0,0.0,18,0.0,0.0
exp3,1,11,Group1,149.71189999999999,2.0,0.0,19,0.0,0.0
exp3,1,9,Group1,116.16699999999999,2.0,0.0,20,0.0,0.0
exp3,1,21,Group2,620.0343,15.0,0.0,21,0.0,0.0
exp3,1,7,Group1,310.05240000000003,2.0,0.0,22,0.0,0.0
exp3,1,10,Group1,599.0884000000001,2.0,0.0,23,0.0,0.0
exp3,1,32,Group2,594.9247,5.0,0.0,24,0.0,0.0
exp3,1,27,Group2,307.85040000000004,905.0,0.0,25,0.0,0.0
exp3,1,16,Group1,133.4788,47.0,0.0,26,0.0,0.0
exp3,1,30,Group2,324.7498,53.0,0.0,27,0.0,0.0
exp3,1,26,Group2,586.006,15.0,0.0,28,0.0,0.0
exp3,1,13,Group1,586.4138,2.0,0.0,29,0.0,0.0
exp3,1,25,Group2,581.5404,15.0,0.0,30,0.0,0.0
exp3,1,8,Group1,126.12819999999999,50.0,0.0,31,0.0,0.0
exp3,1,15,Group1,628.7807999999999,1.0,0.0,32,0.0,0.0
exp3,2,27,Group2,4438.525699999999,1353.0,0.0,1,0.0,0.0
exp3,2,10,Group1,4444.6402,713.0,0.0,2,0.0,0.0
exp3,2,2,Group1,3524.6715,172.0,0.0,3,0.0,0.0
exp3,2,1,Group1,3516.767,154.0,0.0,4,0.0,0.0
exp3,2,23,Group2,3531.6989999999996,431.0,0.0,5,0.0,0.0
exp3,2,18,Group2,3445.0718,224.0,0.0,6,0.0,0.0
exp3,2,24,Group2,3511.2055,441.0,0.0,7,0.0,0.0
exp3,2,17,Group2,3445.1584,484.0,0.0,8,0.0,0.0
exp3,2,11,Group1,3455.3793999999994,1168.0,0.0,9,0.0,0.0
exp3,2,16,Group1,3483.6691,1076.0,0.0,10,0.0,0.0
exp3,2,32,Group2,3454.0492,1275.0,0.0,11,0.0,0.0
exp3,2,15,Group1,4459.9985,184.0,0.0,12,0.0,0.0
exp3,2,12,Group1,4435.6678999999995,412.0,0.0,13,0.0,0.0
exp3,2,6,Group1,3464.9626000000003,221.0,0.0,14,0.0,0.0
exp3,2,26,Group2,4430.258999999999,1077.0,0.0,15,0.0,0.0
exp3,2,3,Group1,3493.9683999999997,1285.0,0.0,16,0.0,0.0
exp3,2,31,Group2,410.67269999999996,1275.0,0.0,17,0.0,0.0
exp3,2,30,Group2,3460.5050000000006,1275.0,0.0,18,0.0,0.0
exp3,2,4,Group1,3466.3192,665.0,0.0,19,0.0,0.0
exp3,2,9,Group1,3498.4292000000005,562.0,0.0,20,0.0,0.0
exp3,2,28,Group2,3437.2371,989.0,0.0,21,0.0,0.0
exp3,2,14,Group1,3449.3048,445.0,0.0,22,0.0,0.0
exp3,2,25,Group2,4485.0738,1077.0,0.0,23,0.0,0.0
exp3,2,13,Group1,3498.4929,664.0,0.0,24,0.0,0.0
exp3,2,5,Group1,3478.9688,262.0,0.0,25,0.0,0.0
exp3,2,22,Group2,3521.8257000000003,1077.0,0.0,26,0.0,0.0
exp3,2,8,Group1,3440.8332,1152.0,0.0,27,0.0,0.0
exp3,2,21,Group2,3524.701,1077.0,0.0,28,0.0,0.0
exp3,2,20,Group2,3523.3911,215.0,0.0,29,0.0,0.0
exp3,2,19,Group2,3484.6887000000006,86.0,0.0,30,0.0,0.0
exp3,2,7,Group1,3457.1149,746.0,0.0,31,0.0,0.0
exp3,2,29,Group2,4455.9526000000005,316.0,0.0,32,0.0,0.0
exp3,3,3,Group1,5937.0392,1298.0,0.0,1,0.0,0.0
exp3,3,26,Group2,5975.3631000000005,917.0,0.0,2,0.0,0.0
exp3,3,11,Group1,552.6058,811.0,0.0,3,0.0,0.0
exp3,3,17,Group2,6025.204,408.0,0.0,4,0.0,0.0
exp3,3,5,Group1,6063.6622,1157.0,0.0,5,0.0,0.0
exp3,3,16,Group1,5932.2238,409.0,0.0,6,0.0,0.0
exp3,3,24,Group2,5912.502799999999,373.0,0.0,7,0.0,0.0
exp3,3,6,Group1,9480.990099999999,1170.0,0.0,8,0.0,0.0
exp3,3,15,Group1,6015.5302,1136.0,0.0,9,0.0,0.0
exp3,3,20,Group2,6002.1541,1175.0,0.0,10,0.0,0.0
exp3,3,13,Group1,5962.288500000001,1298.0,0.0,11,0.0,0.0
exp3,3,21,Group2,5920.7169,1173.0,0.0,12,0.0,0.0
exp3,3,2,Group1,5977.753500000001,186.0,0.0,13,0.0,0.0
exp3,3,32,Group2,9521.866,1283.0,0.0,14,0.0,0.0
exp3,3,12,Group1,5991.741099999999,1302.0,0.0,15,0.0,0.0
exp3,3,4,Group1,9480.9458,1262.0,0.0,16,0.0,0.0
exp3,3,19,Group2,5925.8598999999995,272.0,0.0,17,0.0,0.0
exp3,3,18,Group2,204.53000000000003,395.0,0.0,18,0.0,0.0
exp3,3,23,Group2,6037.5405,345.0,0.0,19,0.0,0.0
exp3,3,10,Group1,6018.8703000000005,363.0,0.0,20,0.0,0.0
exp3,3,31,Group2,5997.5228,1283.0,0.0,21,0.0,0.0
exp3,3,8,Group1,6032.965999999999,1290.0,0.0,22,0.0,0.0
exp3,3,27,Group2,5988.906199999999,1042.0,0.0,23,0.0,0.0
exp3,3,1,Group1,5911.156,178.0,0.0,24,0.0,0.0
exp3,3,29,Group2,5960.220899999999,271.0,0.0,25,0.0,0.0
exp3,4,20,Group2,473.86109999999996,727.0,0.0,1,0.0,0.0
exp3,4,26,Group2,9768.341300000002,519.0,0.0,2,0.0,0.0
exp3,4,17,Group2,9750.340699999999,639.0,0.0,3,0.0,0.0
exp3,4,22,Group2,9798.5083,463.0,0.0,4,0.0,0.0
exp3,4,16,Group1,9736.195,310.0,0.0,5,0.0,0.0
exp3,4,27,Group2,9843.564099999998,1117.0,0.0,6,0.0,0.0
exp3,4,21,Group2,9782.070000000002,1252.0,0.0,7,0.0,0.0
exp3,4,10,Group1,1477.9280999999996,1274.0,0.0,8,0.0,0.0
exp3,4,12,Group1,9764.0824,1269.0,0.0,9,0.0,0.0
exp3,4,30,Group2,9782.8887,1113.0,0.0,10,0.0,0.0
exp3,4,23,Group2,9807.8835,1256.0,0.0,11,0.0,0.0
exp3,4,18,Group2,9794.450700000001,1258.0,0.0,12,0.0,0.0
exp3,4,13,Group1,9790.3343,1265.0,0.0,13,0.0,0.0
exp3,4,8,Group1,9750.938999999998,1272.0,0.0,14,0.0,0.0
exp3,4,9,Group1,9816.4081,1275.0,0.0,15,0.0,0.0
exp3,4,3,Group1,9818.5611,1038.0,0.0,16,0.0,0.0
exp3,4,7,Group1,9811.306,328.0,0.0,17,0.0,0.0
exp3,4,31,Group2,9839.8546,1114.0,0.0,18,0.0,0.0
exp3,4,24,Group2,15573.917,1252.0,0.0,19,0.0,0.0
exp3,4,29,Group2,9753.8846,386.0,0.0,20,0.0,0.0
exp3,4,6,Group1,1480.4122999999997,1057.0,0.0,21,0.0,0.0
exp3,5,7,Group1,1412.4473,164.0,0.0,1,0.0,0.0
exp3,5,4,Group1,12912.929399999999,1054.0,0.0,2,0.0,0.0
exp3,5,32,Group2,1067.1342000000002,1099.0,0.0,3,0.0,0.0
exp3,5,1,Group1,12964.6831,114.0,0.0,4,0.0,0.0
exp3,5,14,Group1,12951.331699999999,1116.0,0.0,5,0.0,0.0
exp3,5,9,Group1,12917.182999999999,1121.0,0.0,6,0.0,0.0
exp3,5,6,Group1,12898.1998,1038.0,0.0,7,0.0,0.0
exp3,5,25,Group2,1428.5384999999999,442.0,0.0,8,0.0,0.0
exp3,5,10,Group1,12988.739,1120.0,0.0,9,0.0,0.0
exp3,5,27,Group2,12931.138500000001,1058.0,0.0,10,0.0,0.0
exp3,5,21,Group2,12883.2533,1222.0,0.0,11,0.0,0.0
exp3,5,30,Group2,20465.306299999997,1098.0,0.0,12,0.0,0.0
exp3,5,28,Group2,12952.7585,1074.0,0.0,13,0.0,0.0
exp3,5,8,Group1,12926.338800000001,1118.0,0.0,14,0.0,0.0
exp3,5,3,Group1,12966.787699999999,1042.0,0.0,15,0.0,0.0
exp3,5,11,Group1,12984.451799999999,1120.0,0.0,16,0.0,0.0
exp3,5,20,Group2,12883.523799999999,1224.0,0.0,17,0.0,0.0
exp3,5,5,Group1,13014.1028,1210.0,0.0,18,0.0,0.0
exp3,5,2,Group1,12901.1703,1052.0,0.0,19,0.0,0.0
exp3,6,23,Group2,14105.176300000001,1201.0,0.0,1,0.0,0.0
exp3,6,22,Group2,14123.8101,450.0,0.0,2,0.0,0.0
exp3,6,1,Group1,14167.792000000001,181.0,0.0,3,0.0,0.0
exp3,6,15,Group1,14134.7399,1180.0,0.0,4,0.0,0.0
exp3,6,2,Group1,28199.492499999997,1113.0,0.0,5,0.0,0.0
exp3,6,17,Group2,14120.9275,1192.0,0.0,6,0.0,0.0
exp3,6,20,Group2,28157.380300000004,1199.0,0.0,7,0.0,0.0
exp3,6,12,Group1,28302.9417,1181.0,0.0,8,0.0,0.0
exp3,6,18,Group2,29477.1179,1203.0,0.0,9,0.0,0.0
exp3,6,27,Group2,14085.8949,1096.0,0.0,10,0.0,0.0
exp3,6,10,Group1,28174.6382,1170.0,0.0,11,0.0,0.0
exp3,6,11,Group1,28177.7101,1170.0,0.0,12,0.0,0.0
exp3,6,8,Group1,14159.4995,1184.0,0.0,13,0.0,0.0
exp3,6,32,Group2,14065.518699999999,1180.0,0.0,14,0.0,0.0
exp3,6,19,Group2,14063.1849,1191.0,0.0,15,0.0,0.0
exp3,6,25,Group2,14081.796,1201.0,0.0,16,0.0,0.0
exp3,6,28,Group2,28252.7332,1033.0,0.0,17,0.0,0.0
exp3,6,5,Group1,28370.8906,1251.0,0.0,18,0.0,0.0
exp3,6,9,Group1,14193.0003,1171.0,0.0,19,0.0,0.0
exp3,6,13,Group1,28280.8934,1177.0,0.0,20,0.0,0.0
exp3,6,29,Group2,14048.17,1180.0,0.0,21,0.0,0.0
exp3,6,26,Group2,14138.546499999999,1203.0,0.0,22,0.0,0.0
exp3,6,21,Group2,28257.402899999997,1197.0,0.0,23,0.0,0.0
exp3,6,30,Group2,28227.2904,1179.0,0.0,24,0.0,0.0
exp3,6,31,Group2,28278.259399999995,1180.0,0.0,25,0.0,0.0
exp3,6,4,Group1,14190.277,1291.0,0.0,26,0.0,0.0
exp3,6,6,Group1,28206.3434,1096.0,0.0,27,0.0,0.0
exp3,6,3,Group1,28309.3116,1293.0,0.0,28,0.0,0.0
exp3,6,24,Group2,28230.1181,1195.0,0.0,29,0.0,0.0
exp3,6,7,Group1,14108.951,691.0,0.0,30,0.0,0.0
exp3,6,14,Group1,1265.7186,1182.0,0.0,31,0.0,0.0
exp3,7,29,Group2,18840.103700000003,1251.0,0.0,1,0.0,0.0
exp3,7,22,Group2,18762.152,398.0,0.0,2,0.0,0.0
exp3,7,1,Group1,18810.493000000002,263.0,0.0,3,0.0,0.0
exp3,7,23,Group2,18898.1251,1140.0,0.0,4,0.0,0.0
exp3,7,11,Group1,18759.9297,1119.0,0.0,5,0.0,0.0
exp3,7,19,Group2,18785.705700000006,1145.0,0.0,6,0.0,0.0
exp3,7,3,Group1,18802.9559,1304.0,0.0,7,0.0,0.0
exp3,7,12,Group1,18904.7059,1129.0,0.0,8,0.0,0.0
exp3,7,10,Group1,18860.9631,1119.0,0.0,9,0.0,0.0
exp3,7,18,Group2,18883.0121,1142.0,0.0,10,0.0,0.0
exp3,7,27,Group2,18727.3828,1044.0,0.0,11,0.0,0.0
exp3,7,32,Group2,34923.515,1251.0,0.0,12,0.0,0.0
exp3,7,6,Group1,18732.725599999998,1230.0,0.0,13,0.0,0.0
exp3,7,25,Group2,18786.5565,1140.0,0.0,14,0.0,0.0
exp3,7,21,Group2,18856.3936,1152.0,0.0,15,0.0,0.0
exp3,7,28,Group2,18833.989099999995,1042.0,0.0,16,0.0,0.0
exp3,7,31,Group2,1666.5267,1251.0,0.0,17,0.0,0.0
exp3,7,17,Group2,2645.2758000000003,1147.0,0.0,18,0.0,0.0
exp3,7,7,Group1,18887.006,428.0,0.0,19,0.0,0.0
exp3,8,22,Group2,19997.8293,1120.0,0.0,1,0.0,0.0
exp3,8,4,Group1,40679.8132,1303.0,0.0,2,0.0,0.0
exp3,8,8,Group1,40454.368200000004,1281.0,0.0,3,0.0,0.0
exp3,8,30,Group2,40479.7573,1173.0,0.0,4,0.0,0.0
exp3,8,17,Group2,19974.888799999997,1117.0,0.0,5,0.0,0.0
exp3,8,24,Group2,1340.201,1120.0,0.0,6,0.0,0.0
exp3,8,32,Group2,20024.8913,1175.0,0.0,7,0.0,0.0
exp3,8,1,Group1,19865.764600000002,669.0,0.0,8,0.0,0.0
exp3,8,18,Group2,40527.630999999994,1112.0,0.0,9,0.0,0.0
exp3,8,29,Group2,20020.4333,1175.0,0.0,10,0.0,0.0
exp3,8,19,Group2,43690.4285,1115.0,0.0,11,0.0,0.0
exp3,8,16,Group1,19918.674899999998,1108.0,0.0,12,0.0,0.0
exp3,8,5,Group1,40558.6385,1138.0,0.0,13,0.0,0.0
exp3,8,11,Group1,40559.311499999996,1283.0,0.0,14,0.0,0.0
exp3,8,21,Group2,40531.2768,1106.0,0.0,15,0.0,0.0
exp3,8,13,Group1,40502.024399999995,1274.0,0.0,16,0.0,0.0
exp3,8,25,Group2,19861.597800000003,1110.0,0.0,17,0.0,0.0
exp3,8,28,Group2,19971.9577,1051.0,0.0,18,0.0,0.0
exp3,8,2,Group1,40593.878600000004,1063.0,0.0,19,0.0,0.0
exp3,8,31,Group2,19942.901799999996,1175.0,0.0,20,0.0,0.0
exp3,8,10,Group1,40456.09090000001,1283.0,0.0,21,0.0,0.0
exp3,8,3,Group1,19990.1944,1321.0,0.0,22,0.0,0.0
exp3,8,20,Group2,19828.185400000002,1108.0,0.0,23,0.0,0.0
exp3,8,23,Group2,19886.523,1110.0,0.0,24,0.0,0.0
exp3,8,12,Group1,19934.6073,1277.0,0.0,25,0.0,0.0
exp3,8,6,Group1,19893.479999999996,1112.0,0.0,26,0.0,0.0
exp3,8,26,Group2,40479.009999999995,1111.0,0.0,27,0.0,0.0
exp3,8,14,Group1,40497.06570000001,1278.0,0.0,28,0.0,0.0
exp3,8,9,Group1,40588.145300000004,1268.0,0.0,29,0.0,0.0
exp3,8,7,Group1,19922.805800000002,451.0,0.0,30,0.0,0.0
exp3,9,32,Group2,5486.3767,1141.0,0.0,1,0.0,0.0
exp3,9,26,Group2,1968.8104,1341.0,0.0,2,0.0,0.0
exp3,9,4,Group1,43956.69990000001,4053.0,0.0,3,0.0,0.0
exp3,9,17,Group2,27351.433699999998,1347.0,0.0,4,0.0,0.0
exp3,9,23,Group2,27416.168299999998,1339.0,0.0,5,0.0,0.0
exp3,9,10,Group1,27359.3076,1172.0,0.0,6,0.0,0.0
exp3,9,12,Group1,5488.4933,1182.0,0.0,7,0.0,0.0
exp3,9,11,Group1,27457.3554,1172.0,0.0,8,0.0,0.0
exp3,9,2,Group1,27561.0591,1262.0,0.0,9,0.0,0.0
exp3,9,25,Group2,27487.185100000002,1340.0,0.0,10,0.0,0.0
exp3,9,15,Group1,27481.601899999998,1170.0,0.0,11,0.0,0.0
exp3,9,3,Group1,27391.583,1027.0,0.0,12,0.0,0.0
exp3,9,19,Group2,27450.857200000002,1345.0,0.0,13,0.0,0.0
exp3,9,30,Group2,27411.9522,1139.0,0.0,14,0.0,0.0
exp3,9,16,Group1,27530.475899999998,1338.0,0.0,15,0.0,0.0
exp3,9,22,Group2,27532.809,415.0,0.0,16,0.0,0.0
exp3,9,1,Group1,27397.3665,554.0,0.0,17,0.0,0.0
exp3,9,27,Group2,27560.0837,1057.0,0.0,18,0.0,0.0
exp3,10,17,Group2,1983.5361,1187.0,0.0,1,0.0,0.0
exp3,10,1,Group1,18917.949,2973.0,0.0,2,0.0,0.0
exp3,10,22,Group2,37896.9986,1182.0,0.0,3,0.0,0.0
exp3,10,11,Group1,18857.132400000002,1116.0,0.0,4,0.0,0.0
exp3,10,21,Group2,18915.210300000002,1192.0,0.0,5,0.0,0.0
exp3,10,3,Group1,18887.270899999996,1041.0,0.0,6,0.0,0.0
exp3,10,24,Group2,18939.571000000004,1190.0,0.0,7,0.0,0.0
exp3,10,6,Group1,37866.5722,1120.0,0.0,8,0.0,0.0
exp3,10,10,Group1,18950.238100000002,1116.0,0.0,9,0.0,0.0
exp3,10,12,Group1,56791.756,9910.0,0.0,10,0.0,0.0
exp3,10,30,Group2,37872.4546,1168.0,0.0,11,0.0,0.0
exp3,10,2,Group1,37902.9637,1100.0,0.0,12,0.0,0.0
exp3,10,19,Group2,18893.674099999997,1184.0,0.0,13,0.0,0.0
exp3,10,26,Group2,37972.24110000001,8573.0,0.0,14,0.0,0.0
