exp_label,group_label,turn_index,filtered_batch_size,batch_total_input_tokens,batch_total_prefix_hit_tokens,batch_total_computation_tokens,batch_prefix_hit_rate,batch_mean_prefill_ms,batch_mean_prefill_per_input_token_ms,fit_prefill_from_compute_ms,fit_prefill_no_hit_ms,estimated_prefix_hit_gain_ms
exp2,Group2,8,5,16263.0,12912.0,3351.0,0.7939494558199595,28684.971640000003,1.7638179696243008,23464.218650937473,75016.19165927914,46331.220019279135
exp2,Group1,9,6,46367.0,39104.0,7263.0,0.8433584230163694,33476.23361666667,0.7219840321061676,39083.12497130864,195208.3071675751,161732.07355090845
exp2,Group2,9,5,20213.0,16736.0,3477.0,0.8279819917874636,33456.072620000006,1.655176006530451,23967.281584569057,90786.81537233284,57330.74275233284
exp2,Group1,10,4,30684.0,26208.0,4476.0,0.8541259288228392,37615.410149999996,1.2258965633554946,27955.851986933783,132592.94218230384,94977.53203230385
exp2,Group2,10,5,34086.0,29920.0,4166.0,0.8777797336149739,37611.32778000001,1.1034245080091536,26718.157467681467,146175.6413903567,108564.3136103567
exp3,Group1,4,3,8590.0,5680.0,2910.0,0.6612339930151339,10040.466666666665,1.1688552580519982,21703.49838322692,44381.25602630163,34340.78935963496
exp3,Group2,4,1,3102.0,2064.0,1038.0,0.6653771760154739,10039.8406,3.236570148291425,14229.420512129056,22470.07047257029,12430.22987257029
exp3,Group1,5,1,3328.0,2208.0,1120.0,0.6634615384615384,12824.428799999998,3.85349423076923,14556.81067528612,23372.38970273488,10547.960902734882
exp3,Group2,5,5,8164.0,7088.0,1076.0,0.8682018618324351,12830.30004,1.5715703135717785,14381.1379048116,42680.42420307102,29850.12416307102
exp3,Group1,7,4,25204.0,20672.0,4532.0,0.8201872718616092,22423.257299999997,0.889670580066656,28179.435512992266,110713.69713229514,88290.43983229515
exp3,Group2,7,3,16185.0,13248.0,2937.0,0.8185356811862836,22408.053500000005,1.384495118937288,21811.29758329083,74704.77174798338,52296.71824798337
exp3,Group1,8,5,32942.0,26944.0,5998.0,0.81792240908263,28672.405339999998,0.8703905452006556,34032.532820166125,141608.14935801912,112935.74401801912
exp3,Group2,8,5,16263.0,12912.0,3351.0,0.7939494558199595,28684.971640000003,1.7638179696243008,23464.218650937473,75016.19165927914,46331.220019279135
exp3,Group1,9,6,46367.0,39104.0,7263.0,0.8433584230163694,33476.23361666667,0.7219840321061676,39083.12497130864,195208.3071675751,161732.07355090845
exp3,Group2,9,5,20213.0,16736.0,3477.0,0.8279819917874636,33456.072620000006,1.655176006530451,23967.281584569057,90786.81537233284,57330.74275233284
exp3,Group1,10,4,30684.0,26208.0,4476.0,0.8541259288228392,37615.410149999996,1.2258965633554946,27955.851986933783,132592.94218230384,94977.53203230385
exp3,Group2,10,5,34086.0,29920.0,4166.0,0.8777797336149739,37611.32778000001,1.1034245080091536,26718.157467681467,146175.6413903567,108564.3136103567
